schema_version,experiment,seed,condition,compromise_fraction,node_count,known_logical_edge_count,compromised_node_count,hop_budget,policy,magnet_strength,source_relay,hop_count,path_len,transport_attempts,transport_failures,transport_success,loop_detected,compromised_relays,clean_path,path_compromise_rate,voxmesh_knows_reticulum_identity,reticulum_knows_whisper_payload,reticulum_graph_visible
1.3.0,sol-link-magnetic-logical-routing,pilot-006,targeted,0.2,100,474,20,12,sol_link_magnetic_hop_by_hop,2.0,n36,10,11,11,1,False,True,3,False,0.2727272727272727,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-006,targeted,0.2,100,474,20,12,sol_link_magnetic_hop_by_hop,4.0,n36,1,2,2,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-006,targeted,0.2,100,474,20,12,sol_link_magnetic_hop_by_hop,8.0,n36,12,13,12,0,True,False,4,False,0.3076923076923077,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-006,behavioral,0.2,100,474,0,12,sol_link_magnetic_hop_by_hop,0.0,n36,0,1,1,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-006,behavioral,0.2,100,474,0,12,sol_link_magnetic_hop_by_hop,1.0,n36,0,1,1,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-006,behavioral,0.2,100,474,0,12,sol_link_magnetic_hop_by_hop,2.0,n36,12,13,12,0,True,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-006,behavioral,0.2,100,474,0,12,sol_link_magnetic_hop_by_hop,4.0,n36,1,2,2,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-006,behavioral,0.2,100,474,0,12,sol_link_magnetic_hop_by_hop,8.0,n36,12,13,12,0,True,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-007,random,0.2,100,546,20,12,sol_link_magnetic_hop_by_hop,0.0,n61,1,2,2,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-007,random,0.2,100,546,20,12,sol_link_magnetic_hop_by_hop,1.0,n61,2,3,3,1,False,False,1,False,0.3333333333333333,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-007,random,0.2,100,546,20,12,sol_link_magnetic_hop_by_hop,2.0,n61,11,12,12,1,False,False,1,False,0.08333333333333333,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-007,random,0.2,100,546,20,12,sol_link_magnetic_hop_by_hop,4.0,n61,0,1,1,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-007,random,0.2,100,546,20,12,sol_link_magnetic_hop_by_hop,8.0,n61,0,1,1,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-007,targeted,0.2,100,546,20,12,sol_link_magnetic_hop_by_hop,0.0,n61,1,2,2,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-007,targeted,0.2,100,546,20,12,sol_link_magnetic_hop_by_hop,1.0,n61,2,3,3,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-007,targeted,0.2,100,546,20,12,sol_link_magnetic_hop_by_hop,2.0,n61,11,12,12,1,False,False,4,False,0.3333333333333333,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-007,targeted,0.2,100,546,20,12,sol_link_magnetic_hop_by_hop,4.0,n61,0,1,1,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-007,targeted,0.2,100,546,20,12,sol_link_magnetic_hop_by_hop,8.0,n61,0,1,1,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-007,behavioral,0.2,100,546,0,12,sol_link_magnetic_hop_by_hop,0.0,n61,4,5,5,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-007,behavioral,0.2,100,546,0,12,sol_link_magnetic_hop_by_hop,1.0,n61,9,10,10,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-007,behavioral,0.2,100,546,0,12,sol_link_magnetic_hop_by_hop,2.0,n61,12,13,12,0,True,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-007,behavioral,0.2,100,546,0,12,sol_link_magnetic_hop_by_hop,4.0,n61,0,1,1,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-007,behavioral,0.2,100,546,0,12,sol_link_magnetic_hop_by_hop,8.0,n61,0,1,1,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-008,random,0.2,100,550,20,12,sol_link_magnetic_hop_by_hop,0.0,n65,12,13,12,0,True,False,4,False,0.3076923076923077,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-008,random,0.2,100,550,20,12,sol_link_magnetic_hop_by_hop,1.0,n65,12,13,12,0,True,False,2,False,0.15384615384615385,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-008,random,0.2,100,550,20,12,sol_link_magnetic_hop_by_hop,2.0,n65,0,1,1,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-008,random,0.2,100,550,20,12,sol_link_magnetic_hop_by_hop,4.0,n65,5,6,6,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-008,random,0.2,100,550,20,12,sol_link_magnetic_hop_by_hop,8.0,n65,7,8,8,1,False,False,2,False,0.25,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-008,targeted,0.2,100,550,20,12,sol_link_magnetic_hop_by_hop,0.0,n65,12,13,12,0,True,False,6,False,0.46153846153846156,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-008,targeted,0.2,100,550,20,12,sol_link_magnetic_hop_by_hop,1.0,n65,12,13,12,0,True,False,2,False,0.15384615384615385,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-008,targeted,0.2,100,550,20,12,sol_link_magnetic_hop_by_hop,2.0,n65,0,1,1,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-008,targeted,0.2,100,550,20,12,sol_link_magnetic_hop_by_hop,4.0,n65,5,6,6,1,False,False,2,False,0.3333333333333333,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-008,targeted,0.2,100,550,20,12,sol_link_magnetic_hop_by_hop,8.0,n65,7,8,8,1,False,False,3,False,0.375,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-008,behavioral,0.2,100,550,0,12,sol_link_magnetic_hop_by_hop,0.0,n65,1,2,2,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-008,behavioral,0.2,100,550,0,12,sol_link_magnetic_hop_by_hop,1.0,n65,10,11,11,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-008,behavioral,0.2,100,550,0,12,sol_link_magnetic_hop_by_hop,2.0,n65,5,6,6,1,False,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-008,behavioral,0.2,100,550,0,12,sol_link_magnetic_hop_by_hop,4.0,n65,12,13,12,0,True,False,0,True,0.0,False,False,False
1.3.0,sol-link-magnetic-logical-routing,pilot-008,behavioral,0.2,100,550,0,12,sol_link_magnetic_hop_by_hop,8.0,n65,0,1,1,1,False,False,0,True,0.0,False,False,False
