schema_version,experiment,seed,source,target,condition_type,compromise_fraction,compromised_node_count,total_node_count,edge_count,route_count,fractal_id,pre_reset_epochs,pre_alarm_path_count,post_candidate_count,policy,path_count,post_reset_path_distance_from_pre_alarm,continuity_retention_vs_lemonade,state_break_distance,state_continuity_score,lane_collapse_rate,path_overlap,unique_path_ratio,clean_path_ratio,path_compromise_rate,mean_compromised_nodes_per_path,mean_node_score_risk_per_path,mean_raw_node_score_per_path,healthy_node_ratio,mean_degradation_risk_per_path,delta,success_continuity_retention,success_node_score_risk_reduced,success_degradation_risk_reduced,success_candidate
1.2.0,local-degradation-aware-lemonade-reselection,pilot-002,n71,n8,behavioral,0.2,0,100,246,3,36,5,3,12,lemonade_reset,3,0.8854700854700855,1.0,0.515625,0.484375,0.0,0.13333333333333333,1.0,1.0,0.0,0.0,0.22579656862745098,0.875,0.3958333333333333,0.42769229030181716,,True,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-002,n71,n8,behavioral,0.2,0,100,246,3,36,5,3,12,node_score_aware_delta_0.90,3,0.8488888888888889,0.9586872586872587,0.4752604166666667,0.5247395833333333,0.0,0.07675438596491228,1.0,1.0,0.0,0.0,0.17392094017094017,0.8418181818181818,0.4909090909090909,0.43051612661226707,0.9,True,True,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-002,n71,n8,behavioral,0.2,0,100,246,3,36,5,3,12,degradation_aware_delta_0.90,3,0.8514619883040936,0.9615931721194878,0.5104166666666666,0.48958333333333337,0.0,0.13333333333333333,1.0,1.0,0.0,0.0,0.20176767676767673,0.7999999999999999,0.5,0.41817028187003197,0.9,True,True,True,True
1.2.0,local-degradation-aware-lemonade-reselection,pilot-002,n71,n8,behavioral,0.2,0,100,246,3,36,5,3,12,degradation_aware_delta_0.85,3,0.8670175438596491,0.9791607396870554,0.48046875,0.51953125,0.0,0.05263157894736842,1.0,1.0,0.0,0.0,0.16051767676767678,0.7483870967741936,0.5161290322580645,0.4208696202530216,0.85,True,True,True,True
1.2.0,local-degradation-aware-lemonade-reselection,pilot-002,n71,n8,behavioral,0.2,0,100,246,3,36,5,3,12,degradation_aware_delta_0.80,3,0.8377777777777778,0.9461389961389961,0.5104166666666666,0.48958333333333337,0.0,0.13333333333333333,1.0,1.0,0.0,0.0,0.18097222222222223,1.2314285714285715,0.4857142857142857,0.4287137060077271,0.8,True,True,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-003,n60,n22,random,0.2,20,100,290,3,36,5,3,12,lemonade_reset,3,0.9444444444444445,1.0,0.48828125,0.51171875,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.19496082621082622,0.8846153846153846,0.38461538461538464,0.4120991209446984,,True,False,False,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-003,n60,n22,random,0.2,20,100,290,3,36,5,3,12,node_score_aware_delta_0.90,3,0.9607843137254902,1.0173010380622838,0.5065104166666666,0.49348958333333337,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.16185185185185183,1.2052631578947368,0.42105263157894735,0.35539180572389056,0.9,True,True,True,False
1.2.0,local-degradation-aware-lemonade-reselection,pilot-003,n60,n22,random,0.2,20,100,290,3,36,5,3,12,degradation_aware_delta_0.90,3,0.9895833333333334,1.0477941176470589,0.5442708333333334,0.45572916666666663,0.0,0.08333333333333333,1.0,0.3333333333333333,0.6666666666666666,2.0,0.16185185185185183,0.8454545454545455,0.5151515151515151,0.38909368622170915,0.9,True,True,True,True
1.2.0,local-degradation-aware-lemonade-reselection,pilot-003,n60,n22,random,0.2,20,100,290,3,36,5,3,12,degradation_aware_delta_0.85,3,0.9595588235294118,1.0160034602076125,0.4752604166666667,0.5247395833333333,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.17560185185185184,1.2666666666666666,0.3888888888888889,0.35018466677604265,0.85,True,True,True,True
1.2.0,local-degradation-aware-lemonade-reselection,pilot-003,n60,n22,random,0.2,20,100,290,3,36,5,3,12,degradation_aware_delta_0.80,3,0.9666666666666667,1.0235294117647058,0.4934895833333333,0.5065104166666667,0.0,0.041666666666666664,1.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.1521494708994709,0.8777777777777778,0.5555555555555556,0.40172693295377293,0.8,True,True,True,True
