schema_version,experiment,seed,source,target,compromise_type,compromise_fraction,compromised_node_count,total_node_count,edge_count,route_count,fractal_id,pre_reset_epochs,pre_alarm_path_count,post_candidate_count,policy,path_count,post_reset_path_distance_from_pre_alarm,continuity_retention_vs_lemonade,state_break_distance,state_continuity_score,lane_collapse_rate,path_overlap,unique_path_ratio,clean_path_ratio,path_compromise_rate,mean_compromised_nodes_per_path,mean_node_score_risk_per_path,mean_raw_node_score_per_path,healthy_node_ratio,delta,success_continuity_retention,success_node_score_risk_reduced,success_candidate
1.1.0,node-score-aware-lemonade-reselection,pilot-003,n60,n22,targeted,0.2,20,100,290,3,36,5,3,12,node_score_aware_delta_0.50,3,0.9505494505494506,1.0,0.51171875,0.48828125,0.0,0.037037037037037035,1.0,0.0,1.0,2.6666666666666665,0.1434090909090909,0.970967741935484,0.6129032258064516,0.5,True,True,False
1.1.0,node-score-aware-lemonade-reselection,pilot-004,n18,n34,random,0.2,20,100,248,3,36,5,1,1,lemonade_reset,1,0.0,0.0,0.4921875,0.5078125,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,,True,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-004,n18,n34,random,0.2,20,100,248,3,36,5,1,1,node_score_aware_delta_0.90,1,0.0,0.0,0.484375,0.515625,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.9,False,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-004,n18,n34,random,0.2,20,100,248,3,36,5,1,1,node_score_aware_delta_0.75,1,0.0,0.0,0.515625,0.484375,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.75,False,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-004,n18,n34,random,0.2,20,100,248,3,36,5,1,1,node_score_aware_delta_0.60,1,0.0,0.0,0.48828125,0.51171875,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.6,False,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-004,n18,n34,random,0.2,20,100,248,3,36,5,1,1,node_score_aware_delta_0.50,1,0.0,0.0,0.53515625,0.46484375,0.0,0.0,1.0,0.0,1.0,1.0,0.375,2.5,0.0,0.5,False,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-004,n18,n34,targeted,0.2,20,100,248,3,36,5,1,1,lemonade_reset,1,0.0,0.0,0.4921875,0.5078125,0.0,0.0,1.0,0.0,1.0,2.0,0.375,2.5,0.0,,True,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-004,n18,n34,targeted,0.2,20,100,248,3,36,5,1,1,node_score_aware_delta_0.90,1,0.0,0.0,0.484375,0.515625,0.0,0.0,1.0,0.0,1.0,2.0,0.375,2.5,0.0,0.9,False,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-004,n18,n34,targeted,0.2,20,100,248,3,36,5,1,1,node_score_aware_delta_0.75,1,0.0,0.0,0.515625,0.484375,0.0,0.0,1.0,0.0,1.0,2.0,0.375,2.5,0.0,0.75,False,False,False
1.1.0,node-score-aware-lemonade-reselection,pilot-004,n18,n34,targeted,0.2,20,100,248,3,36,5,1,1,node_score_aware_delta_0.60,1,0.0,0.0,0.48828125,0.51171875,0.0,0.0,1.0,0.0,1.0,2.0,0.375,2.5,0.0,0.6,False,False,False
